"SourceProcedureId","FileId","FileName","FilePath","BucketName","ComponentName","Downloaded","LocalFile","Note"
"019dfd33-32dd-76cc-815b-edcf0b2fc72d","","Mẫu số 1.2- Bien ban.docx","configuring/019dfd30-8510-71bb-a980-a8b3194f79f7/Mẫu số 1.2- Bien ban.docx","dvc","- Tờ trình đề nghị xét tặng Giấy khen của Thủ trưởng cơ quan, đơn vị có tư cách pháp nhân thuộc Bộ Xây dựng; - Báo cáo thành tích của đối tượng đề nghị khen thưởng; - Biên bản xét khen thưởng của tập thể cơ quan, đơn vị hoặc Hội đồng Thi đua - Khen thưởng các cấp; b)	Số lượng hồ sơ: 01 bộ","False","",""
"019d2bf9-83fc-70e3-9c5c-371ee9f8f762","","Mẫu số 12-PL08-Mau Cong van de nghi phe duyet.docx","configuring/019db024-be31-7584-adbd-dacd24175aad/Mẫu số 12-PL08-Mau Cong van de nghi phe duyet.docx","dvc","1. Văn bản đề nghị thẩm định Báo cáo phân tích an toàn trong xây dựng cơ sở bức xạ theo Mẫu số 12 Phụ lục VIII Phụ lục VIII ban hành kèm theo Nghị định số 332/2025/NĐ-CP.","False","",""
"019d7c74-f1ec-7469-bced-e9178d3beb91","","Mẫu 2.docx","configuring/019d7c75-7e7e-7717-bc41-375b8bb0ff66/Mẫu 2.docx","dvc","- Công văn đề xuất (Mẫu 2)","False","",""
"019dfd0e-8a44-71b4-a49d-0c90d86abdb7","","Mẫu số 1.1 To trinh.docx","configuring/019dfd0e-6318-72f8-86fa-15d2de6ac0a3/Mẫu số 1.1 To trinh.docx","dvc","-	Tờ trình đề nghị tặng Bức trướng của Bộ Xây dựng; -	Báo cáo thành tích tập thể; -	Biên bản xét khen thưởng và kết quả bỏ phiếu của tập thể cơ quan, đơn vị hoặc Hội đồng Thi đua - Khen thưởng các cấp; - Số lượng hồ sơ: 01 bộ.","False","",""
"019dfd33-32dd-76cc-815b-edcf0b2fc72d","","Mẫu số 1.5-.docx","configuring/019dfd30-8626-745b-8883-f159656f8777/Mẫu số 1.5-.docx","dvc","- Tờ trình đề nghị xét tặng Giấy khen của Thủ trưởng cơ quan, đơn vị có tư cách pháp nhân thuộc Bộ Xây dựng; - Báo cáo thành tích của đối tượng đề nghị khen thưởng; - Biên bản xét khen thưởng của tập thể cơ quan, đơn vị hoặc Hội đồng Thi đua - Khen thưởng các cấp; b)	Số lượng hồ sơ: 01 bộ","False","",""
"019f1681-0ec2-72f9-a55f-b81cd1fb36fd","","Mẫu 1..docx","configuring/019d7c7a-31b7-7628-8e4b-794b4077d21f/Mẫu 1..docx","dvc","- Đơn đề nghị hỗ trợ (Mẫu 1).","False","",""
"019d2bfe-698b-74ca-98e7-dd6c51c839e8","","Mẫu số 10 - Đơn đề nghị thỏa thuận thông số kỹ thuật xây dựng cảng thủy nội địa.docx","configuring/019d9594-b131-748f-aa97-8e60e546c515/Mẫu số 10 - Đơn đề nghị thỏa thuận thông số kỹ thuật xây dựng cảng thủy nội địa.docx","dvc","- Đơn đề nghị thỏa thuận thông số kỹ thuật xây dựng cảng thủy nội địa theo mẫu;","False","",""
"019d2bfe-a02c-754e-9e9e-afd5f23aa699","","Mẫu 01_PLIII NĐ.2026.docx","configuring/019f282b-1be1-75aa-93f4-34add757f1a9/Mẫu 01_PLIII NĐ.2026.docx","dvc","Bản chính hoặc biểu mẫu điện tử đơn đề nghị theo quy định mẫu 01 Phụ lục III Nghị định 241/2026/NĐ-CP","False","",""
"019dbd96-088e-74a9-9877-cf19204905ca","","MAU 01-Cap phep xay dung co thoi han su dung cho cong trinh.doc","configuring/019dbd76-12a6-73fc-a941-924ef45313ef/MAU 01-Cap phep xay dung co thoi han su dung cho cong trinh.doc","dvc","1. Đơn đề nghị cấp giấy phép xây dựng có thời hạn theo mẫu;","False","",""
"019d2bfe-6969-7309-beb8-559700c3087e","","Mẫu Đơn đề nghị thỏa thuận thông số kỹ thuật xây dựng bến thủy nội địa.docx","configuring/019df764-b92e-7216-a1c9-c2c3101989d4/Mẫu Đơn đề nghị thỏa thuận thông số kỹ thuật xây dựng bến thủy nội địa.docx","dvc","- Đơn đề nghị thỏa thuận xây dựng bến thủy nội địa theo Mẫu số 10 tại Phụ lục ban hành kèm theo Nghị định số 08/2021/NĐ-CP","False","",""
"019d2bfe-712b-7199-8f22-d5fc91ab8426","","BC NTHT.docx","configuring/019f20ff-4578-724d-8333-1ff99f127d6d/BC NTHT.docx","dvc","Báo cáo hoàn thành thi công xây dựng hạng mục công trình, công trình xây dựng (theo Phụ lục VI Nghị định số 207/2026/NĐ-CP).","False","",""
